state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
GUJARAT,Anand,4.387,3.098,7.393,6.174
GUJARAT,Banas Kantha,2.333,1.543,4.177,4.886
GUJARAT,Bharuch,4.577,3.493,7.104,6.565
GUJARAT,Bhavnagar,4.839,4.355,5.967,6.772
GUJARAT,Dohad,1.791,1.269,3.007,6.387
GUJARAT,Gandhinagar,5.187,4.212,7.463,6.274
GUJARAT,Jamnagar,4.742,4.254,5.882,6.091
GUJARAT,Junagadh,4.221,3.363,6.225,6.438
GUJARAT,Kachchh,3.703,3.114,5.077,5.506
GUJARAT,Kheda,3.761,2.358,7.035,6.005
GUJARAT,Mahesana,3.985,2.557,7.318,5.89
GUJARAT,Narmada,2.517,1.25,5.476,6.328
GUJARAT,Navsari,4.511,3.189,7.594,6.648
GUJARAT,Panch Mahals,2.697,1.669,5.095,7.038
GUJARAT,Patan,3.238,2.299,5.428,5.504
GUJARAT,Porbandar,4.9,4.327,6.238,6.403
GUJARAT,Rajkot,6.016,5.59,7.008,6.45
GUJARAT,Sabar Kantha,2.93,1.67,5.871,6.61
GUJARAT,Surat,7.48,7.405,7.654,6.83
GUJARAT,Surendranagar,3.647,2.889,5.417,6.023
GUJARAT,Tapi,2.325,1.103,5.177,6.529
GUJARAT,The Dangs,2.382,1.128,5.308,4.93
GUJARAT,Vadodara,5.736,5.268,6.829,6.812
GUJARAT,Valsad,5.028,4.374,6.552,6.77
HARYANA,Ambala,5.145,4.219,7.304,6.685
HARYANA,Bhiwani,3.195,2.007,5.969,5.878
HARYANA,Faridabad,7.693,7.858,7.309,7.967
HARYANA,Fatehabad,2.878,1.983,4.966,5.987
HARYANA,Gurgaon,7.534,7.315,8.045,7.069
HARYANA,Hisar,3.945,3.154,5.791,6.407
HARYANA,Jhajjar,3.808,2.514,6.827,5.911
HARYANA,Jind,3.23,2.258,5.498,6.12
HARYANA,Kaithal,3.128,2.273,5.124,6.161
HARYANA,Karnal,3.89,2.99,5.99,6.433
HARYANA,Kurukshetra,3.894,2.853,6.32,6.074
HARYANA,Mahendragarh,2.993,1.523,6.422,5.065
HARYANA,Mewat,1.656,1.463,2.105,4.245
HARYANA,Palwal,3.072,2.362,4.731,5.413
HARYANA,Panchkula,6.374,5.782,7.756,7.373
HARYANA,Panipat,4.896,4.393,6.067,6.663
HARYANA,Rewari,3.752,2.415,6.871,5.796
HARYANA,Rohtak,4.871,4.009,6.882,6.507
HARYANA,Sirsa,3.362,2.57,5.211,6.486
HARYANA,Sonipat,4.068,2.99,6.584,6.212
HARYANA,Yamunanagar,4.567,3.72,6.544,6.24
HIMACHAL PRADESH,Bilaspur,2.747,0.693,7.539,4.816
HIMACHAL PRADESH,Chamba,2.09,0.65,5.45,4.786
HIMACHAL PRADESH,Hamirpur,2.922,0.699,8.108,4.956
HIMACHAL PRADESH,Kangra,2.749,0.616,7.727,5.307
HIMACHAL PRADESH,Kinnaur,2.125,0.027,7.022,3.985
HIMACHAL PRADESH,Kullu,2.763,1.05,6.757,4.887
HIMACHAL PRADESH,Lahul AND Spiti,1.955,0.0,6.516,3.134
HIMACHAL PRADESH,Mandi,2.59,0.665,7.084,4.654
HIMACHAL PRADESH,Shimla,3.989,2.427,7.635,4.756
HIMACHAL PRADESH,Sirmaur,2.659,1.035,6.449,4.785
HIMACHAL PRADESH,Solan,3.621,2.006,7.388,5.033
HIMACHAL PRADESH,Una,2.986,0.932,7.778,5.194
JAMMU AND KASHMIR,Anantnag,2.698,2.328,3.561,4.13
JAMMU AND KASHMIR,Badgam,1.721,1.346,2.595,4.815
JAMMU AND KASHMIR,Bandipore,2.072,1.651,3.055,4.641
JAMMU AND KASHMIR,Baramula,2.481,1.762,4.157,5.386
JAMMU AND KASHMIR,Doda,1.735,0.771,3.987,4.575
JAMMU AND KASHMIR,Ganderbal,2.093,1.625,3.185,5.0
JAMMU AND KASHMIR,Jammu,5.538,4.66,7.589,6.193
JAMMU AND KASHMIR,Kargil,2.597,1.462,5.245,3.214
JAMMU AND KASHMIR,Kathua,2.664,1.422,5.562,5.072
JAMMU AND KASHMIR,Kishtwar,1.346,0.688,2.879,2.98
JAMMU AND KASHMIR,Kulgam,2.323,1.892,3.33,3.916
JAMMU AND KASHMIR,Kupwara,1.863,1.155,3.513,4.517
