state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
PONDICHERRY,Mahe,9.401,9.266,9.716,6.313
PONDICHERRY,PONDICHERRY,7.028,6.6,8.026,8.278
PONDICHERRY,Yanam,8.386,9.062,6.809,8.393
PUNJAB,Amritsar,5.817,5.502,6.553,7.387
PUNJAB,Barnala,3.828,3.226,5.233,7.119
PUNJAB,Bathinda,4.165,3.651,5.366,7.46
PUNJAB,Faridkot,4.082,3.482,5.48,7.376
PUNJAB,Fatehgarh Sahib,4.269,3.107,6.981,6.737
PUNJAB,Firozpur,3.568,2.856,5.228,7.11
PUNJAB,Gurdaspur,4.103,2.876,6.965,6.967
PUNJAB,Hoshiarpur,3.869,2.229,7.695,5.982
PUNJAB,Jalandhar,5.871,5.113,7.639,6.797
PUNJAB,Kapurthala,4.551,3.504,6.994,6.483
PUNJAB,Ludhiana,6.38,5.891,7.52,7.305
PUNJAB,Mansa,2.963,2.389,4.304,7.222
PUNJAB,Moga,3.428,2.458,5.691,6.572
PUNJAB,Muktsar,3.628,3.1,4.861,7.594
PUNJAB,Patiala,4.769,4.056,6.432,7.243
PUNJAB,Rupnagar,4.163,2.78,7.39,6.441
PUNJAB,Sahibzada Ajit Singh Nagar,6.49,5.892,7.886,7.422
PUNJAB,Sangrur,3.866,3.267,5.263,6.993
PUNJAB,Shahid Bhagat Singh Nagar,3.508,1.997,7.035,5.55
PUNJAB,Tarn Taran,2.614,1.574,5.041,7.095
RAJASTHAN,Ajmer,4.101,3.715,5.002,5.875
RAJASTHAN,Alwar,2.87,1.964,4.982,4.887
RAJASTHAN,Banswara,1.431,0.837,2.818,2.729
RAJASTHAN,Baran,2.735,1.975,4.509,5.011
RAJASTHAN,Barmer,1.413,0.848,2.732,2.015
RAJASTHAN,Bharatpur,2.782,1.937,4.754,4.714
RAJASTHAN,Bhilwara,2.527,1.977,3.812,5.541
RAJASTHAN,Bikaner,3.617,3.385,4.159,4.19
RAJASTHAN,Bundi,2.482,1.89,3.862,4.463
RAJASTHAN,Chittaurgarh,2.458,1.8,3.994,5.922
RAJASTHAN,Churu,3.246,2.726,4.459,4.648
RAJASTHAN,Dausa,2.281,1.279,4.62,4.586
RAJASTHAN,Dhaulpur,2.708,1.939,4.5,3.447
RAJASTHAN,Dungarpur,1.549,0.805,3.284,3.919
RAJASTHAN,Ganganagar,3.435,2.685,5.185,5.057
RAJASTHAN,Hanumangarh,2.824,1.985,4.779,4.861
RAJASTHAN,Jaipur,5.559,5.325,6.105,6.087
RAJASTHAN,Jaisalmer,1.864,1.464,2.797,2.17
RAJASTHAN,Jalor,1.453,0.928,2.679,3.377
RAJASTHAN,Jhalawar,2.262,1.592,3.825,6.062
RAJASTHAN,Jhunjhunun,3.19,2.103,5.725,4.549
RAJASTHAN,Jodhpur,3.561,3.213,4.371,4.707
RAJASTHAN,Karauli,2.304,1.462,4.268,3.538
RAJASTHAN,Kota,5.774,5.576,6.236,6.791
RAJASTHAN,Nagaur,2.438,1.79,3.948,4.071
RAJASTHAN,Pali,2.553,1.945,3.973,4.979
RAJASTHAN,Pratapgarh,1.498,0.931,2.822,2.963
RAJASTHAN,Rajsamand,2.263,1.515,4.007,5.256
RAJASTHAN,Sawai Madhopur,2.578,1.827,4.33,3.934
RAJASTHAN,Sikar,3.213,2.301,5.341,4.797
RAJASTHAN,Sirohi,2.281,2.055,2.808,4.319
RAJASTHAN,Tonk,2.523,1.943,3.878,4.102
RAJASTHAN,Udaipur,2.545,2.019,3.771,4.284
SIKKIM,East District,5.677,4.769,7.794,7.404
SIKKIM,North  District,2.965,1.397,6.625,5.761
SIKKIM,South District,3.504,1.939,7.156,7.12
SIKKIM,West District,2.3,0.529,6.433,7.479
TAMIL NADU,Ariyalur,2.46,1.094,5.648,6.997
TAMIL NADU,Chennai,9.854,9.975,9.573,10.0
TAMIL NADU,Coimbatore,7.379,7.115,7.994,8.173
TAMIL NADU,Cuddalore,4.25,3.197,6.705,8.063
TAMIL NADU,Dharmapuri,2.756,1.705,5.208,6.948
TAMIL NADU,Dindigul,4.367,3.459,6.485,7.086
TAMIL NADU,Erode,5.16,4.725,6.175,7.227
TAMIL NADU,Kancheepuram,6.772,6.223,8.053,8.727
TAMIL NADU,Kanniyakumari,7.957,7.57,8.86,8.016
TAMIL NADU,Karur,4.608,3.823,6.439,7.355
TAMIL NADU,Krishnagiri,3.294,2.289,5.639,7.166
TAMIL NADU,Madurai,6.113,5.463,7.629,7.763
TAMIL NADU,Nagapattinam,3.727,2.108,7.505,7.441
TAMIL NADU,Namakkal,4.552,3.754,6.415,7.122
TAMIL NADU,Perambalur,2.961,1.611,6.11,7.23
TAMIL NADU,Pudukkottai,3.264,1.895,6.459,7.073
TAMIL NADU,Ramanathapuram,4.076,2.789,7.08,7.057
TAMIL NADU,Salem,5.089,4.681,6.04,7.267
TAMIL NADU,Sivaganga,4.126,2.905,6.976,7.022
TAMIL NADU,Thanjavur,4.592,3.364,7.458,7.511
TAMIL NADU,The Nilgiris,6.066,5.263,7.939,6.945
TAMIL NADU,Theni,5.431,4.899,6.672,7.68
TAMIL NADU,Thiruvallur,6.753,6.273,7.871,8.78
TAMIL NADU,Thiruvarur,3.615,1.959,7.477,7.491
TAMIL NADU,Thoothukkudi,5.403,4.338,7.889,7.005
TAMIL NADU,Tiruchirappalli,5.467,4.534,7.645,7.746
TAMIL NADU,Tirunelveli,5.329,4.456,7.367,7.453
TAMIL NADU,Tiruppur,5.929,5.507,6.916,7.468
TAMIL NADU,Tiruvannamalai,3.14,1.898,6.039,7.785
TAMIL NADU,Vellore,4.798,3.931,6.82,7.736
TAMIL NADU,Viluppuram,2.749,1.514,5.631,7.787
TAMIL NADU,Virudhunagar,5.338,4.608,7.04,6.973
TRIPURA,Dhalai,2.99,1.218,7.125,4.455
TRIPURA,North Tripura,3.625,1.982,7.458,4.184
TRIPURA,South Tripura,3.251,1.531,7.262,5.012
TRIPURA,West Tripura,5.179,3.911,8.136,6.27
UTTAR PRADESH,Agra,4.546,4.212,5.325,6.168
UTTAR PRADESH,Aligarh,3.468,2.97,4.631,3.161
UTTAR PRADESH,Allahabad,3.024,2.008,5.395,3.207
UTTAR PRADESH,Ambedkar Nagar,2.337,1.039,5.365,1.651
UTTAR PRADESH,Auraiya,3.069,1.699,6.266,2.016
UTTAR PRADESH,Azamgarh,2.057,0.766,5.07,1.808
UTTAR PRADESH,Baghpat,3.003,2.03,5.275,3.752
UTTAR PRADESH,Bahraich,1.062,0.731,1.832,1.001
UTTAR PRADESH,Ballia,2.21,0.946,5.16,1.833
UTTAR PRADESH,Balrampur,1.071,0.722,1.883,1.162
UTTAR PRADESH,Banda,2.262,1.366,4.35,1.534
UTTAR PRADESH,Bara Banki,1.822,1.001,3.739,1.401
UTTAR PRADESH,Bareilly,3.365,3.355,3.39,2.766
UTTAR PRADESH,Basti,1.721,0.53,4.5,1.9
UTTAR PRADESH,Bijnor,3.0,2.253,4.742,2.906
UTTAR PRADESH,Budaun,1.785,1.63,2.148,1.152
UTTAR PRADESH,Bulandshahr,3.038,2.3,4.76,2.499
UTTAR PRADESH,Chandauli,2.36,1.188,5.096,2.469
UTTAR PRADESH,Chitrakoot,1.843,0.919,3.998,1.664
UTTAR PRADESH,Deoria,2.196,0.938,5.133,2.179
UTTAR PRADESH,Etah,2.566,1.536,4.97,1.646
UTTAR PRADESH,Etawah,3.42,2.221,6.217,3.183
UTTAR PRADESH,Faizabad,2.324,1.238,4.86,2.105
UTTAR PRADESH,Farrukhabad,2.883,2.092,4.727,2.061
UTTAR PRADESH,Fatehpur,2.168,1.11,4.635,1.074
UTTAR PRADESH,Firozabad,3.786,3.166,5.233,3.658
UTTAR PRADESH,Gautam Buddha Nagar,6.725,6.591,7.039,6.026
UTTAR PRADESH,Ghaziabad,6.646,6.69,6.543,6.426
UTTAR PRADESH,Ghazipur,2.075,0.747,5.172,1.301
UTTAR PRADESH,Gonda,1.449,0.669,3.269,1.336
UTTAR PRADESH,Gorakhpur,2.877,1.862,5.246,3.149
UTTAR PRADESH,Hamirpur,2.591,1.601,4.902,1.684
UTTAR PRADESH,Hardoi,2.08,1.205,4.12,0.93
UTTAR PRADESH,Jalaun,3.154,2.092,5.632,2.55
UTTAR PRADESH,Jaunpur,2.081,0.747,5.191,1.733
UTTAR PRADESH,Jhansi,4.287,3.563,5.975,3.687
UTTAR PRADESH,Jyotiba Phule Nagar,2.823,2.32,3.996,1.895
UTTAR PRADESH,Kannauj,2.735,1.644,5.282,1.597
UTTAR PRADESH,Kanpur Dehat,2.421,0.937,5.885,1.133
UTTAR PRADESH,Kanpur Nagar,6.324,6.047,6.97,5.165
UTTAR PRADESH,Kanshiram Nagar,2.386,1.906,3.507,1.357
UTTAR PRADESH,Kaushambi,1.581,0.73,3.566,1.027
UTTAR PRADESH,Kheri,1.845,1.126,3.523,1.305
UTTAR PRADESH,Kushinagar,1.611,0.496,4.211,1.513
UTTAR PRADESH,Lalitpur,2.063,1.307,3.827,2.454
UTTAR PRADESH,Lucknow,6.545,6.451,6.764,6.065
UTTAR PRADESH,Mahamaya Nagar,2.986,2.077,5.106,3.575
UTTAR PRADESH,Mahoba,2.554,1.781,4.359,1.642
UTTAR PRADESH,Mahrajganj,1.525,0.51,3.893,1.402
UTTAR PRADESH,Mainpuri,2.858,1.611,5.768,1.838
UTTAR PRADESH,Mathura,3.457,2.803,4.984,4.863
UTTAR PRADESH,Mau,2.998,1.995,5.339,3.258
UTTAR PRADESH,Meerut,5.09,4.886,5.566,5.51
UTTAR PRADESH,Mirzapur,2.31,1.32,4.619,2.637
UTTAR PRADESH,Moradabad,3.09,3.1,3.067,2.668
UTTAR PRADESH,Muzaffarnagar,3.398,2.79,4.815,3.788
UTTAR PRADESH,Pilibhit,2.378,1.765,3.806,1.712
UTTAR PRADESH,Pratapgarh,1.89,0.519,5.088,1.787
UTTAR PRADESH,Rae Bareli,2.015,0.868,4.691,3.127
UTTAR PRADESH,Rampur,2.465,2.41,2.595,2.362
UTTAR PRADESH,Saharanpur,3.567,2.921,5.073,4.561
UTTAR PRADESH,Sant Kabir Nagar,1.802,0.708,4.355,2.175
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),2.283,1.25,4.695,2.399
UTTAR PRADESH,Shahjahanpur,2.319,1.866,3.377,1.667
UTTAR PRADESH,Shrawasti,0.645,0.291,1.469,0.649
UTTAR PRADESH,Siddharthnagar,1.349,0.592,3.116,1.71
UTTAR PRADESH,Sitapur,1.824,1.071,3.58,0.965
UTTAR PRADESH,Sonbhadra,2.563,1.966,3.955,2.213
UTTAR PRADESH,Sultanpur,1.835,0.524,4.894,2.56
UTTAR PRADESH,Unnao,2.44,1.527,4.571,1.277
UTTAR PRADESH,Varanasi,4.546,3.901,6.052,4.609
UTTARAKHAND,Almora,2.49,0.693,6.684,3.863
UTTARAKHAND,Bageshwar,2.198,0.355,6.498,4.661
UTTARAKHAND,Chamoli,2.855,1.115,6.917,3.775
UTTARAKHAND,Champawat,2.757,1.192,6.409,3.792
UTTARAKHAND,Dehradun,5.913,5.165,7.659,6.706
UTTARAKHAND,Garhwal,2.853,1.075,7.0,4.535
UTTARAKHAND,Hardwar,4.159,3.561,5.555,5.89
UTTARAKHAND,Nainital,4.494,3.308,7.264,5.828
UTTARAKHAND,Pithoragarh,2.871,1.143,6.902,4.511
UTTARAKHAND,Rudraprayag,2.26,0.343,6.733,4.128
UTTARAKHAND,Tehri Garhwal,2.482,0.974,6.0,4.568
UTTARAKHAND,Udham Singh Nagar,3.957,3.247,5.615,6.269
UTTARAKHAND,Uttarkashi,2.24,0.682,5.877,4.289
WEST BENGAL,Bankura,2.194,0.83,5.376,3.298
WEST BENGAL,Barddhaman,4.405,3.552,6.396,4.766
WEST BENGAL,Birbhum,2.479,1.266,5.31,3.392
WEST BENGAL,Dakshin Dinajpur,2.705,1.38,5.796,3.585
WEST BENGAL,Darjiling,4.782,3.847,6.964,5.864
WEST BENGAL,Haora,6.373,5.901,7.474,6.049
WEST BENGAL,Hugli,4.77,3.652,7.38,6.009
WEST BENGAL,Jalpaiguri,3.56,2.602,5.796,3.386
WEST BENGAL,Koch Bihar,2.466,0.975,5.946,1.961
WEST BENGAL,Kolkata,9.401,9.609,8.916,8.104
WEST BENGAL,Maldah,1.998,1.221,3.811,3.035
WEST BENGAL,Murshidabad,2.569,1.711,4.573,2.836
WEST BENGAL,Nadia,3.8,2.749,6.251,4.0
WEST BENGAL,North Twenty Four Parganas,6.129,5.395,7.841,5.923
WEST BENGAL,Paschim Medinipur,2.767,1.17,6.493,4.194
WEST BENGAL,Purba Medinipur,3.139,1.146,7.79,3.848
WEST BENGAL,Puruliya,2.131,1.197,4.312,2.434
WEST BENGAL,South Twenty Four Parganas,3.691,2.561,6.327,3.827
WEST BENGAL,Uttar Dinajpur,1.77,1.092,3.353,2.462
